client_id,gendr,clnt_age,logons_6_mnth,clnt_tenure_yr,clnt_tenure_mnth,num_accts,bal,calls_6_mnth
8148299,F,80.5,4,5,70,2,599335.0900000001,1
8148423,M,63.5,8,4,59,2,234124.67,5
8148869,F,60.0,9,16,196,2,93080.55,6
8149214,F,31.5,5,14,173,2,49931.33,2
8149689,M,63.5,5,12,153,2,39191.75,2
8149715,M,52.5,8,7,94,2,73168.34,5
8149895,M,70.0,7,19,233,2,299682.27,4
8149955,U,27.5,5,6,77,2,38969.29,2
8150031,U,24.5,9,4,56,2,34126.259999999995,6
8150060,F,39.0,4,12,148,2,34454.85,1
8150683,M,50.5,9,18,225,3,147931.32,6
8150867,F,43.0,4,10,128,2,30313.6,1
8150905,M,53.0,3,13,167,2,23789.54,0
8151029,U,82.0,5,5,68,3,32647.69,2
8151536,F,35.5,4,12,154,2,66427.6,1
8151605,M,57.5,9,35,427,4,579941.17,6
8151649,F,55.0,7,8,104,2,44284.85,4
8151693,M,58.0,9,18,227,2,30713.66,6
8152115,U,34.0,7,8,97,2,58071.58,4
8152690,F,49.5,4,14,173,2,143527.94,1
8152789,U,44.5,3,7,94,2,32747.42,0
8153271,U,37.0,5,6,78,2,121869.61,2
8153325,M,48.5,9,23,280,2,118419.9,6
8153393,F,64.0,9,23,279,2,279468.96,6
8153419,U,21.5,4,3,40,2,39528.59,1
8154299,M,50.5,6,4,56,3,29501.11,3
8154471,F,68.5,7,14,179,2,37673.68,4
8154663,F,73.0,9,4,57,2,58106.41,5
8155111,F,55.5,3,13,161,2,82588.68,0
8155386,U,62.0,6,6,75,2,71151.14,3
8155528,F,58.0,9,16,192,2,29446.09,6
8155757,M,30.5,9,6,76,2,89507.52,6
8156123,F,51.0,3,15,189,2,31786.62,0
8156436,U,19.0,5,23,287,3,57858.83,2
8156551,F,55.0,6,9,115,2,47709.73,3
8156691,U,28.0,9,6,72,3,114673.91,6
8156741,F,53.0,4,13,156,2,30726.66,1
8156778,M,40.5,9,21,256,2,71873.84,6
8156943,M,33.0,9,15,180,2,39200.85,6
8156996,F,71.0,4,15,188,2,40163.15,1
8157020,F,37.0,8,13,161,2,38351.38,5
8157088,F,41.5,8,15,186,2,101972.14,5
8157247,F,39.0,8,13,157,2,39497.17,5
8157741,F,75.0,5,30,371,2,390435.62,2
8157893,M,53.0,9,5,66,4,393299.35,6
8158004,F,48.0,9,12,154,2,100155.94,6
8158159,F,35.5,3,13,160,2,26010.71,0
8158266,F,40.0,3,9,115,3,105445.87,0
8158588,U,64.5,6,7,89,2,101919.06,3
8158599,M,44.5,8,15,189,2,26956.06,5
8159840,U,52.5,5,7,94,2,97648.91,2
8159854,F,67.0,5,28,336,2,154298.77000000002,2
8159879,M,61.0,3,33,407,2,83209.98999999999,0
8160088,F,41.0,9,15,190,3,73588.65,6
8160451,F,68.0,4,26,319,2,64384.78,1
8160510,F,46.5,7,23,286,3,288424.3,4
8161011,F,41.5,4,14,178,2,130340.17,1
8161095,M,41.5,4,5,65,2,38482.32,1
8161244,M,54.0,9,2,35,3,61945.22,6
8161337,M,50.0,9,15,191,2,980773.54,6
8161448,U,39.5,8,6,74,2,987912.94,5
8161704,F,63.0,9,21,253,3,461340.67,6
8161973,F,72.0,8,16,192,2,47818.51,5
8162066,M,37.5,9,6,81,2,263909.32,6
8162191,M,43.5,5,13,160,2,48530.0,2
8162270,U,29.0,5,7,94,2,72487.2,2
8163068,M,56.5,9,25,303,2,294310.34,6
8163384,M,50.5,6,15,188,2,156837.99,3
8163507,F,54.5,6,5,71,2,93970.47,3
8163527,M,30.5,9,12,154,3,299595.66,6
8163566,U,44.0,3,5,70,2,51104.55,0
8163594,M,59.5,9,18,219,3,68764.91,6
8163610,U,47.0,3,4,55,2,51799.82,0
8163796,F,62.5,6,23,287,2,126817.43,3
8163806,F,68.0,5,16,196,2,59388.95,1
8163927,F,78.5,4,13,156,2,34617.24,0
8164042,U,63.5,9,7,92,2,725007.52,6
8164122,M,71.0,9,11,143,2,117353.91,6
8164319,M,66.5,9,14,175,2,42834.69,6
8164330,F,24.5,4,24,289,2,33485.09,1
8164412,U,56.0,7,4,57,2,23846.22,4
8164502,F,74.0,4,5,62,3,68693.22,1
8164547,M,43.0,8,10,127,4,607976.04,5
8164635,F,50.5,6,18,224,2,47743.97,3
8164670,M,66.0,9,5,67,5,700396.88,6
8164889,F,34.5,6,19,238,2,73464.11,3
8165001,M,57.0,4,5,71,2,422968.29,1
8165113,M,39.5,3,27,333,2,42675.87,0
8165291,U,25.5,6,6,72,3,26536.76,3
8165314,U,45.0,9,5,71,2,147377.78,6
8165565,F,49.5,4,4,57,2,31627.67,1
8165778,F,51.5,5,9,118,2,29672.99,2
8165838,M,25.5,3,8,107,2,29306.5,0
8165914,U,38.5,9,6,76,2,45711.36,6
8166246,U,23.5,3,6,73,2,26938.68,0
8166306,U,56.0,5,6,79,2,36912.47,2
8166361,F,59.0,9,25,311,2,146394.28999999998,6
8166540,U,56.5,8,7,94,2,593953.2200000001,5
8166616,M,34.0,9,15,191,2,132229.03,6
8167124,F,66.5,6,34,418,3,366293.44,3
8167168,U,55.0,5,7,86,2,79034.37,2
8167393,M,39.5,9,10,125,2,71038.82,6
8167785,F,60.5,3,12,149,2,33652.54,0
8167786,U,28.0,3,7,91,2,39554.74,0
8167904,U,53.0,4,6,82,2,32835.85,1
8167939,U,57.5,5,5,66,2,30866.92,2
8168349,M,71.0,9,9,108,2,43738.67999999999,6
8168445,U,67.5,9,5,69,2,228716.28,6
8168710,U,30.5,5,5,65,2,36203.99,2
8169008,U,45.5,3,4,59,2,32951.63,0
8169366,U,69.0,4,7,86,2,501049.93,1
8169732,U,18.5,4,4,59,2,37222.41,1
8170103,M,38.5,4,12,152,5,216710.8,1
8170136,M,58.0,9,6,79,3,228647.73,6
8170143,M,69.5,6,12,155,3,409420.35,3
8170199,F,40.0,3,15,190,2,43793.62,0
8170314,M,20.5,4,26,321,2,129220.42,1
8170322,F,29.0,6,8,96,2,34435.009999999995,3
8170337,M,67.5,6,22,269,3,30316.21,3
8170460,M,41.0,9,15,187,2,83729.83,6
8171000,M,53.5,6,9,109,2,431812.05,3
8171174,F,63.0,3,12,154,2,25700.1,0
8171532,M,48.0,5,8,106,2,27267.84,2
8171782,U,47.0,6,4,57,4,434988.87,3
8171936,M,23.0,6,10,126,3,54484.27,3
8172224,U,26.0,9,5,67,2,47546.97,6
8172442,M,51.5,7,19,228,2,48143.14,4
8172977,U,30.0,5,5,70,3,51106.38,2
8173142,M,62.5,8,24,297,3,415873.04,5
8173337,U,62.5,9,5,67,2,673749.3400000001,6
8173417,F,34.5,6,25,311,3,60473.92,3
8173437,U,67.5,9,8,96,3,40925.66,6
8173583,U,66.0,6,6,77,2,74532.56,3
8174002,F,36.5,6,10,122,3,104722.38,3
8174009,U,35.0,4,4,58,2,31664.3,1
8174132,F,53.5,5,21,262,2,29600.23,2
8174731,M,25.0,9,27,329,3,28592.73,6
8175396,U,28.5,7,5,71,3,36671.52,4
8175407,U,48.5,4,5,71,2,77226.76,1
8175549,M,31.0,9,9,119,2,56258.07,6
8175591,M,38.0,5,6,77,2,35088.77,2
8175603,F,50.0,3,15,189,2,286712.25,0
8175830,F,55.0,5,15,189,2,46513.28,2
8175874,F,42.5,9,15,190,2,522696.58,6
8176161,U,80.0,9,6,75,2,55969.44,6
8176371,U,22.0,6,6,73,2,34008.78,3
8176430,F,39.5,5,18,224,2,113262.6,1
8176637,F,47.5,5,14,168,2,55334.82,2
8177035,M,59.5,4,13,159,2,39359.88,1
8177492,M,44.0,7,10,130,2,66213.04999999999,4
8178009,M,67.0,9,9,112,3,94453.2,6
8178255,F,58.5,4,15,185,2,53006.7,1
8178404,M,53.5,9,15,182,2,109864.06,6
8178476,M,37.0,8,18,219,3,204174.17,5
8178567,U,28.0,5,6,77,2,57798.71,2
